Object,Star,Star type,Mass (M⊕),Radius (R⊕),Density (g/cm3),Flux (F⊕),Teq (K),Period (days),Distance (ly),Note,index,Discovery Year,Discovery Method
HD 152843 c,,,27.5,5.83,,,,,351.75,,8473.0,2021,Transit
TOI-1685 b,,,3.78,1.7,,,,,122.63,,8514.0,2021,Transit
TOI-1260 b,,,8.6,2.34,,,,,239.93,,8519.0,2021,Transit
TOI-1260 c,,,11.8,2.82,,,,,239.93,,8530.0,2021,Transit
TOI-1634 b,,,4.91,1.79,,,,,114.99,,8533.0,2021,Transit
TOI-1259 A b,,,140.16,11.46,,,,,385.03,,8541.0,2021,Transit
TOI-1807 b,,,2.57,1.37,,,,,138.8,,8544.0,2021,Transit
HAT-P-59 b,,,489.46,12.59,,,,,865.44,,8574.0,2021,Transit
HAT-P-62 b,,,241.87,12.03,,,,,1137.14,,8583.0,2021,Transit
HAT-P-63 b,,,195.15,12.54,,,,,1315.27,,8586.0,2021,Transit
TOI-1749 c,,,14.0,2.12,,,,,324.55,,8593.0,2021,Transit
TOI-1749 d,,,15.0,2.52,,,,,324.55,,8605.0,2021,Transit
TOI-1062 b,,,10.15,2.27,,,,,267.88,,8618.0,2021,Transit
TOI-1278 b,,,5879.83,12.22,,,,,246.38,,8621.0,2021,Transit
TOI-431 b,,,3.07,1.28,,,,,106.17,,8654.0,2021,Transit
COCONUTS-2 b,,,2002.32,12.44,,,,,35.49,,8661.0,2021,Imaging
TOI-2202 b,,,310.84,11.32,,,,,769.14,,8663.0,2021,Transit
TOI-1518 b,,,731.01,21.02,,,,,736.39,,8678.0,2021,Transit
TIC 172900988 b,,,942.0,11.25,,,,,818.12,,8681.0,2021,Transit
GPX-1 b,,,6261.22,16.48,,,,,2135.34,,8698.0,2021,Transit
TOI-559 b,,,1910.15,12.23,,,,,760.45,,8702.0,2021,Transit
TOI-1431 b,,,991.62,16.7,,,,,485.5,,8707.0,2021,Transit
HD 63935 b,,,10.5,2.92,,,,,159.65,,8733.0,2021,Transit
HD 63935 c,,,11.1,2.9,,,,,159.65,,8736.0,2021,Radial Velocity
